date,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
01-01-2026,South West Delhi,110022,3,2,1,1,10,32,16
01-01-2026,South West Delhi,110023,2,0,0,0,10,0,0
01-01-2026,South West Delhi,110028,0,3,1,0,13,24,28
01-01-2026,South West Delhi,110029,1,1,1,0,3,20,8
01-01-2026,South West Delhi,110037,9,6,0,2,64,118,84
01-01-2026,South West Delhi,110038,1,1,0,0,3,10,7
01-01-2026,South West Delhi,110043,21,12,1,10,55,272,216
01-01-2026,South West Delhi,110045,20,9,0,5,61,0,0
01-01-2026,South West Delhi,110046,7,3,0,0,0,0,0
01-01-2026,South West Delhi,110057,0,1,1,1,4,14,9
01-01-2026,South West Delhi,110061,1,0,0,0,4,18,12
01-01-2026,South West Delhi,110064,5,1,0,0,8,15,8
01-01-2026,South West Delhi,110067,4,1,0,0,20,22,16
01-01-2026,South West Delhi,110070,5,1,0,4,30,62,48
01-01-2026,South West Delhi,110071,5,1,0,1,12,0,0
01-01-2026,South West Delhi,110073,2,0,0,0,12,34,10
01-01-2026,South West Delhi,110075,4,2,0,0,0,0,0
01-01-2026,South West Delhi,110077,14,4,0,2,25,25,24
01-01-2026,South West Delhi,110078,4,1,0,4,37,46,42
01-01-2026,West Delhi,110015,12,4,1,0,0,0,0
01-01-2026,West Delhi,110018,26,2,1,6,71,0,0
01-01-2026,West Delhi,110026,3,1,1,0,11,18,12
01-01-2026,West Delhi,110027,7,5,2,3,30,68,126
01-01-2026,West Delhi,110041,41,11,0,7,102,0,0
01-01-2026,West Delhi,110043,7,0,0,1,4,27,25
01-01-2026,West Delhi,110058,1,0,0,0,20,23,17
01-01-2026,West Delhi,110059,56,24,1,13,198,432,374
01-01-2026,West Delhi,110063,7,0,0,0,32,37,25
01-01-2026,West Delhi,110087,5,0,0,0,0,0,0
01-04-2025,Central Delhi,110003,80,41,12,0,0,0,0
01-04-2025,East Delhi,110092,676,221,15,1132,6242,6084,5738
01-04-2025,North West Delhi,110034,295,101,13,642,3945,2506,2268
01-04-2025,North West Delhi,110040,221,134,28,957,2444,0,0
01-04-2025,North West Delhi,110085,387,114,13,823,4912,0,0
01-04-2025,Shahdara,110032,208,98,13,429,2068,504,748
01-04-2025,South Delhi,110017,151,35,12,183,1875,0,0
01-04-2025,South Delhi,110074,253,102,10,301,1805,2496,2682
01-04-2025,South West Delhi,110037,126,65,11,489,1984,2126,1730
01-04-2025,South West Delhi,110045,314,95,22,520,4935,4126,4656
01-04-2025,South West Delhi,110061,50,20,11,0,0,964,810
01-04-2025,South West Delhi,110070,68,29,14,140,1069,0,0
01-04-2025,West Delhi,110018,275,96,32,573,4594,1761,2170
01-04-2025,West Delhi,110059,974,344,151,1780,14314,10006,14402
01-05-2025,Central Delhi,110003,53,22,10,77,595,327,383
01-05-2025,Central Delhi,110055,155,83,10,132,1325,1010,1290
01-05-2025,East Delhi,110051,185,67,19,259,2146,0,0
01-05-2025,East Delhi,110092,485,213,36,709,4857,0,0
01-05-2025,East Delhi,110095,299,62,12,0,0,1986,3078
01-05-2025,North West Delhi,110034,198,110,13,335,2977,980,1140
01-05-2025,North West Delhi,110040,170,141,12,609,1950,0,0
01-05-2025,Shahdara,110032,66,47,20,371,1819,0,0
01-05-2025,South Delhi,110017,118,54,17,0,0,0,0
01-05-2025,South Delhi,110065,99,34,11,0,0,529,441
01-05-2025,South West Delhi,110045,309,117,25,392,3367,2744,3354
01-05-2025,South West Delhi,110061,32,33,12,0,0,242,228
01-05-2025,South West Delhi,110077,107,38,11,196,1506,482,506
01-05-2025,West Delhi,110018,317,120,32,404,4068,0,0
01-05-2025,West Delhi,110059,1094,373,140,1197,9904,0,0
01-06-2025,Central Delhi,110005,134,49,11,104,1308,5,10
01-06-2025,East Delhi,110091,305,113,12,304,2518,54,124
01-06-2025,East Delhi,110092,355,186,14,514,3992,38,90
01-06-2025,New Delhi,110003,78,30,16,0,0,0,0
01-06-2025,New Delhi,110037,101,44,16,0,0,0,0
01-06-2025,New Delhi,110061,33,26,19,0,0,0,0
01-06-2025,North Delhi,110039,181,93,11,0,0,0,0
01-06-2025,North Delhi,110040,151,151,11,0,0,0,0
01-06-2025,North East Delhi,110094,998,569,10,1190,5725,28,82
01-06-2025,North West Delhi,110034,217,96,16,270,2145,10,14
01-06-2025,North West Delhi,110085,371,88,10,510,3547,0,0
01-06-2025,South Delhi,110017,126,45,20,92,1200,0,0
01-06-2025,South Delhi,110024,41,16,13,0,0,0,0
01-06-2025,South Delhi,110062,452,188,10,311,3516,0,0
01-06-2025,South West Delhi,110045,202,90,29,282,2677,14,18
01-06-2025,West Delhi,110018,249,132,29,305,3176,6,30
01-06-2025,West Delhi,110027,140,52,17,131,1522,0,0
01-06-2025,West Delhi,110059,1193,403,199,846,8050,0,0
01-07-2025,Central Delhi,110005,200,80,17,176,1520,0,0
01-07-2025,Central Delhi,110007,285,89,14,0,0,0,0
01-07-2025,Central Delhi,110054,103,33,10,0,0,0,0
01-07-2025,Central Delhi,110055,185,126,10,0,0,0,0
01-07-2025,East Delhi,110091,527,214,12,476,3095,100,140
01-07-2025,East Delhi,110092,792,290,43,815,5159,84,164
01-07-2025,New Delhi,110003,131,66,15,0,0,0,0
01-07-2025,New Delhi,110021,61,33,34,0,0,8,8
01-07-2025,New Delhi,110037,173,109,22,0,0,0,0
01-07-2025,New Delhi,110057,58,23,19,0,0,0,0
01-07-2025,New Delhi,110061,52,52,46,0,0,0,0
01-07-2025,New Delhi,110070,106,71,20,0,0,0,0
01-07-2025,North Delhi,110039,279,118,13,0,0,0,0
01-07-2025,North Delhi,110040,284,191,16,0,0,0,0
01-07-2025,North East Delhi,110053,1042,554,12,781,3537,0,0
01-07-2025,North East Delhi,110094,1826,1029,19,1883,7078,270,308
01-07-2025,North West Delhi,110034,372,126,16,459,2513,34,68
01-07-2025,North West Delhi,110085,486,141,30,613,4013,37,78
01-07-2025,Shahdara,110032,545,239,15,375,2004,12,16
01-07-2025,South Delhi,110016,72,24,20,0,0,3,2
01-07-2025,South Delhi,110017,199,83,23,135,1464,18,96
01-07-2025,South Delhi,110024,56,25,23,0,0,4,8
01-07-2025,South Delhi,110029,57,15,16,0,0,0,0
01-07-2025,South Delhi,110030,231,105,21,0,0,7,36
01-07-2025,South Delhi,110048,50,17,16,0,0,0,0
01-07-2025,South Delhi,110065,129,52,20,0,0,0,0
01-07-2025,South West Delhi,110045,468,207,29,454,3273,68,106
01-07-2025,West Delhi,110015,304,107,12,232,1645,10,60
01-07-2025,West Delhi,110018,753,205,32,463,3751,36,53
01-07-2025,West Delhi,110027,243,95,12,222,1730,30,84
01-07-2025,West Delhi,110041,961,317,11,1467,4529,120,248
01-07-2025,West Delhi,110059,1538,640,122,1346,9576,166,306
01-09-2025,Central Delhi,110001,0,1,0,1,3,0,4
01-09-2025,Central Delhi,110002,2,1,0,9,18,16,50
01-09-2025,Central Delhi,110003,1,1,3,0,23,0,0
01-09-2025,Central Delhi,110005,4,5,0,7,49,0,0
01-09-2025,Central Delhi,110008,16,3,0,8,58,23,48
01-09-2025,Central Delhi,110012,3,2,0,1,13,8,28
01-09-2025,Central Delhi,110055,1,2,0,4,25,30,58
01-09-2025,Central Delhi,110060,4,0,0,0,4,4,8
01-09-2025,East Delhi,110031,9,3,1,12,43,0,0
01-09-2025,East Delhi,110032,2,0,0,0,27,0,23
01-09-2025,East Delhi,110051,9,2,0,12,50,90,58
01-09-2025,East Delhi,110053,2,1,0,1,2,0,0
01-09-2025,East Delhi,110091,5,5,1,14,71,82,92
01-09-2025,East Delhi,110092,14,7,0,15,112,80,66
01-09-2025,East Delhi,110095,12,6,0,5,20,0,0
01-09-2025,East Delhi,110096,5,2,0,11,65,66,70
01-09-2025,New Delhi,110001,2,0,0,1,10,0,0
01-09-2025,New Delhi,110021,0,1,0,1,5,12,6
01-09-2025,New Delhi,110023,1,0,0,0,2,0,4
01-09-2025,North Delhi,110006,8,7,0,5,44,42,90
01-09-2025,North Delhi,110007,10,2,0,4,34,0,0
01-09-2025,North Delhi,110054,2,1,1,1,8,10,20
01-09-2025,North Delhi,110084,25,7,0,16,88,92,126
01-09-2025,North East,110053,6,2,0,1,24,0,0
01-09-2025,North East,110093,6,0,0,1,17,8,60
01-09-2025,North East,110094,8,6,0,1,41,0,0
01-09-2025,North East Delhi,110032,5,2,0,3,25,46,62
01-09-2025,North East Delhi,110053,17,4,0,15,84,0,0
01-09-2025,North East Delhi,110093,12,3,0,15,43,90,144
01-09-2025,North East Delhi,110094,31,16,0,36,139,0,0
01-09-2025,North West Delhi,110009,2,1,0,4,26,0,0
01-09-2025,North West Delhi,110033,15,4,0,7,53,68,126
01-09-2025,North West Delhi,110034,2,1,0,12,65,58,76
01-09-2025,North West Delhi,110035,2,1,0,4,21,0,0
01-09-2025,North West Delhi,110036,6,1,0,11,31,0,0
01-09-2025,North West Delhi,110039,1,0,0,13,30,38,80
01-09-2025,North West Delhi,110040,5,6,1,12,53,0,0
01-09-2025,North West Delhi,110042,15,7,0,27,87,100,228
01-09-2025,North West Delhi,110052,8,4,0,9,48,80,86
01-09-2025,North West Delhi,110056,1,0,0,0,3,0,0
01-09-2025,North West Delhi,110081,3,2,0,9,33,0,0
01-09-2025,North West Delhi,110083,8,2,0,7,27,54,98
01-09-2025,North West Delhi,110085,13,0,0,11,95,38,67
01-09-2025,North West Delhi,110086,32,11,0,24,167,192,348
01-09-2025,North West Delhi,110088,1,0,0,7,38,0,0
01-09-2025,North West Delhi,110089,1,2,0,1,22,10,11
01-09-2025,Shahdara,110032,3,3,0,4,29,6,12
01-09-2025,Shahdara,110095,3,0,0,2,15,0,10
01-09-2025,South Delhi,110003,0,1,0,0,7,0,14
01-09-2025,South Delhi,110013,1,1,0,2,16,0,0
01-09-2025,South Delhi,110014,2,3,0,2,10,0,0
01-09-2025,South Delhi,110016,1,1,0,0,9,0,0
01-09-2025,South Delhi,110017,4,0,0,6,54,32,62
01-09-2025,South Delhi,110019,6,3,1,10,57,44,48
01-09-2025,South Delhi,110020,5,5,0,2,25,0,0
01-09-2025,South Delhi,110024,0,1,0,1,10,2,5
01-09-2025,South Delhi,110025,13,6,0,7,49,0,0
01-09-2025,South Delhi,110030,5,1,0,3,21,9,26
01-09-2025,South Delhi,110044,18,11,0,8,82,142,226
01-09-2025,South Delhi,110047,4,1,0,1,14,0,0
01-09-2025,South Delhi,110048,0,0,1,2,14,1,4
01-09-2025,South Delhi,110049,14,0,0,2,18,6,18
01-09-2025,South Delhi,110062,24,4,0,11,83,152,266
01-09-2025,South Delhi,110065,2,0,1,4,16,0,0
01-09-2025,South Delhi,110068,2,0,1,2,15,0,0
01-09-2025,South Delhi,110074,5,3,0,2,40,6,23
01-09-2025,South Delhi,110076,8,3,1,3,20,0,0
01-09-2025,South Delhi,110080,3,0,0,3,12,16,26
01-09-2025,South West Delhi,110010,2,2,1,1,8,38,36
01-09-2025,South West Delhi,110021,0,1,0,0,6,2,2
01-09-2025,South West Delhi,110022,3,1,1,1,10,0,0
01-09-2025,South West Delhi,110023,1,0,1,4,16,0,0
01-09-2025,South West Delhi,110028,0,1,0,3,13,0,16
01-09-2025,South West Delhi,110029,1,0,0,0,4,1,3
01-09-2025,South West Delhi,110037,9,2,0,5,38,0,0
01-09-2025,South West Delhi,110038,1,0,0,2,7,0,0
01-09-2025,South West Delhi,110043,16,8,0,11,69,110,126
01-09-2025,South West Delhi,110045,16,4,0,10,58,70,138
01-09-2025,South West Delhi,110046,10,2,0,4,42,62,42
01-09-2025,South West Delhi,110057,0,2,0,3,8,2,16
01-09-2025,South West Delhi,110061,3,0,0,1,6,8,12
01-09-2025,South West Delhi,110066,2,1,0,1,6,0,6
01-09-2025,South West Delhi,110067,2,0,0,2,8,0,0
01-09-2025,South West Delhi,110070,1,0,2,3,12,2,12
01-09-2025,South West Delhi,110071,4,1,0,1,14,9,13
01-09-2025,South West Delhi,110077,3,2,0,3,34,0,0
01-09-2025,South West Delhi,110078,9,0,1,4,29,0,0
01-09-2025,West Delhi,110015,7,3,1,6,54,52,78
01-09-2025,West Delhi,110018,12,4,1,7,81,0,0
01-09-2025,West Delhi,110026,0,1,0,2,8,2,8
01-09-2025,West Delhi,110027,6,0,0,1,38,17,39
01-09-2025,West Delhi,110041,24,10,0,15,117,88,204
01-09-2025,West Delhi,110043,0,1,0,0,14,10,34
01-09-2025,West Delhi,110059,29,11,1,19,194,178,256
01-09-2025,West Delhi,110063,6,1,0,2,36,14,36
01-09-2025,West Delhi,110087,2,3,0,0,14,4,30
01-11-2025,Central Delhi,110005,1,0,1,4,39,0,0
01-11-2025,Central Delhi,110008,2,0,1,0,0,0,0
01-11-2025,Central Delhi,110012,1,0,0,1,6,0,0
01-11-2025,Central Delhi,110060,1,0,0,0,8,4,0
01-11-2025,East Delhi,110031,2,0,0,4,33,0,0
01-11-2025,East Delhi,110032,2,0,0,0,9,0,0
01-11-2025,East Delhi,110051,6,0,0,0,0,0,0
01-11-2025,East Delhi,110091,4,0,0,3,51,0,0
01-11-2025,East Delhi,110092,3,2,0,20,274,98,140
01-11-2025,East Delhi,110095,3,0,0,5,20,20,66
01-11-2025,East Delhi,110096,5,3,0,5,68,56,84
01-11-2025,North Delhi,110006,6,1,0,3,49,30,60
01-11-2025,North Delhi,110007,4,1,0,1,30,0,0
01-11-2025,North Delhi,110054,2,0,0,0,0,0,0
01-11-2025,North Delhi,110084,5,1,0,7,53,0,0
01-11-2025,North East,110053,5,0,0,2,18,0,0
01-11-2025,North East,110093,1,0,0,1,16,6,48
01-11-2025,North East,110094,3,4,0,2,48,0,0
01-11-2025,North East Delhi,110032,1,0,0,8,36,66,52
01-11-2025,North East Delhi,110053,7,2,0,8,81,100,144
01-11-2025,North East Delhi,110093,4,1,0,3,31,0,0
01-11-2025,North East Delhi,110094,15,5,0,17,141,0,0
01-11-2025,North West Delhi,110033,5,0,0,0,0,0,0
01-11-2025,North West Delhi,110034,4,1,1,5,62,31,32
01-11-2025,North West Delhi,110035,3,1,0,1,33,12,18
01-11-2025,North West Delhi,110036,2,0,1,1,20,10,17
01-11-2025,North West Delhi,110039,3,0,0,24,98,60,82
01-11-2025,North West Delhi,110040,1,2,0,5,53,0,0
01-11-2025,North West Delhi,110042,5,2,1,4,69,70,160
01-11-2025,North West Delhi,110052,0,2,0,4,54,21,28
01-11-2025,North West Delhi,110081,2,1,0,10,38,38,88
01-11-2025,North West Delhi,110083,1,0,0,3,21,38,54
01-11-2025,North West Delhi,110085,7,1,0,24,160,70,106
01-11-2025,North West Delhi,110086,10,5,2,15,125,0,0
01-11-2025,North West Delhi,110088,3,0,0,5,23,32,32
01-11-2025,North West Delhi,110089,2,0,0,0,24,0,0
01-11-2025,Shahdara,110093,1,1,0,1,9,3,5
01-11-2025,Shahdara,110095,0,1,0,0,0,0,0
01-11-2025,South Delhi,110013,1,0,0,0,18,12,14
01-11-2025,South Delhi,110014,1,2,1,0,0,0,0
01-11-2025,South Delhi,110016,1,0,0,2,8,6,8
01-11-2025,South Delhi,110017,2,0,1,2,33,22,52
01-11-2025,South Delhi,110019,3,2,1,4,55,50,40
01-11-2025,South Delhi,110020,2,0,2,0,0,0,0
01-11-2025,South Delhi,110025,5,4,0,0,0,0,0
01-11-2025,South Delhi,110030,2,1,0,0,0,0,0
01-11-2025,South Delhi,110044,9,1,0,0,0,0,0
01-11-2025,South Delhi,110047,4,0,0,0,0,0,0
01-11-2025,South Delhi,110048,1,1,0,1,10,1,1
01-11-2025,South Delhi,110049,1,0,0,1,10,0,0
01-11-2025,South Delhi,110062,2,1,0,0,0,0,0
01-11-2025,South Delhi,110065,0,1,1,0,0,0,0
01-11-2025,South Delhi,110068,1,1,0,1,16,0,0
01-11-2025,South Delhi,110074,2,1,0,3,34,14,16
01-11-2025,South Delhi,110076,5,0,0,3,25,34,62
01-11-2025,South West Delhi,110010,1,0,0,2,11,0,0
01-11-2025,South West Delhi,110023,0,1,0,0,0,0,0
01-11-2025,South West Delhi,110028,1,0,0,2,8,8,14
01-11-2025,South West Delhi,110037,4,3,0,3,27,22,46
01-11-2025,South West Delhi,110043,1,6,0,6,62,24,26
01-11-2025,South West Delhi,110045,2,0,1,20,148,42,76
01-11-2025,South West Delhi,110046,2,1,0,18,44,30,44
01-11-2025,South West Delhi,110061,0,1,0,0,7,0,0
01-11-2025,South West Delhi,110064,1,0,0,2,15,0,0
01-11-2025,South West Delhi,110066,1,0,0,2,4,0,4
01-11-2025,South West Delhi,110067,1,0,0,1,7,4,8
01-11-2025,South West Delhi,110070,4,0,0,0,58,18,12
01-11-2025,South West Delhi,110071,2,1,0,1,15,12,20
01-11-2025,South West Delhi,110073,1,0,0,3,2,4,2
01-11-2025,South West Delhi,110075,1,0,0,8,40,15,14
01-11-2025,South West Delhi,110078,1,0,0,6,36,8,16
01-11-2025,West Delhi,110015,0,3,1,8,58,28,36
01-11-2025,West Delhi,110018,1,1,0,13,71,0,0
01-11-2025,West Delhi,110026,1,0,0,1,17,0,0
01-11-2025,West Delhi,110027,3,1,0,4,29,0,0
01-11-2025,West Delhi,110041,2,1,0,7,103,108,188
01-11-2025,West Delhi,110043,2,2,1,0,13,0,14
01-11-2025,West Delhi,110058,2,2,0,4,20,0,0
01-11-2025,West Delhi,110059,11,8,1,0,0,0,0
01-11-2025,West Delhi,110063,3,0,1,0,0,0,0
01-11-2025,West Delhi,110087,1,0,0,2,15,0,0
02-01-2026,Central Delhi,110002,6,1,0,6,72,60,156
02-01-2026,Central Delhi,110003,2,0,1,1,16,0,0
02-01-2026,Central Delhi,110005,5,3,0,3,45,0,0
02-01-2026,Central Delhi,110008,6,4,0,2,47,42,48
02-01-2026,Central Delhi,110011,0,1,0,0,0,0,0
02-01-2026,Central Delhi,110012,4,1,0,2,20,18,26
02-01-2026,Central Delhi,110055,5,1,1,0,0,0,0
02-01-2026,East Delhi,110031,9,3,0,0,0,0,0
02-01-2026,East Delhi,110032,5,1,0,0,6,0,0
02-01-2026,East Delhi,110051,13,2,0,7,49,48,70
02-01-2026,East Delhi,110053,1,2,0,2,18,12,16
02-01-2026,East Delhi,110091,17,2,0,9,84,45,53
02-01-2026,East Delhi,110092,31,10,1,28,260,164,178
02-01-2026,East Delhi,110095,10,1,1,4,13,96,95
02-01-2026,East Delhi,110096,14,7,0,20,81,0,0
02-01-2026,New Delhi,110001,3,0,0,14,20,26,10
02-01-2026,New Delhi,110021,1,0,0,3,9,0,0
02-01-2026,North Delhi,110006,25,13,1,0,0,0,0
02-01-2026,North Delhi,110007,15,1,0,2,29,31,28
02-01-2026,North Delhi,110054,5,0,0,4,14,22,40
02-01-2026,North Delhi,110084,33,9,0,15,115,63,78
02-01-2026,North East,110053,13,8,0,2,25,0,0
02-01-2026,North East,110093,9,1,0,0,12,8,92
02-01-2026,North East,110094,13,6,0,0,0,0,0
02-01-2026,North East Delhi,110032,8,1,0,6,20,86,68
02-01-2026,North East Delhi,110053,18,10,1,14,135,0,0
02-01-2026,North East Delhi,110090,1,0,0,0,0,0,0
02-01-2026,North East Delhi,110093,15,5,0,30,126,266,202
02-01-2026,North East Delhi,110094,37,25,0,29,253,166,172
02-01-2026,North West Delhi,110009,13,2,1,10,68,30,38
02-01-2026,North West Delhi,110033,16,6,0,7,68,68,156
02-01-2026,North West Delhi,110034,6,1,2,0,0,0,0
02-01-2026,North West Delhi,110035,9,3,0,0,0,0,0
02-01-2026,North West Delhi,110036,5,4,1,11,31,18,23
02-01-2026,North West Delhi,110039,9,2,0,9,43,37,53
02-01-2026,North West Delhi,110040,9,4,0,3,69,32,36
02-01-2026,North West Delhi,110042,15,13,0,16,105,138,222
02-01-2026,North West Delhi,110052,21,5,0,2,52,66,36
02-01-2026,North West Delhi,110056,1,0,0,0,4,0,2
02-01-2026,North West Delhi,110081,5,5,0,6,53,0,0
02-01-2026,North West Delhi,110082,2,1,0,6,13,0,0
02-01-2026,North West Delhi,110083,11,1,0,0,0,0,0
02-01-2026,North West Delhi,110085,27,3,0,23,144,55,57
02-01-2026,North West Delhi,110086,54,14,1,26,213,340,476
02-01-2026,North West Delhi,110088,6,0,0,6,38,19,27
02-01-2026,North West Delhi,110089,3,0,0,0,0,0,0
02-01-2026,North West Delhi,110094,1,0,0,0,2,0,2
02-01-2026,Shahdara,110032,2,2,0,6,57,6,10
02-01-2026,Shahdara,110053,1,0,0,0,11,0,0
02-01-2026,Shahdara,110093,1,1,2,1,15,2,5
02-01-2026,Shahdara,110095,3,2,0,5,30,4,5
02-01-2026,South Delhi,110003,1,0,0,2,8,2,14
02-01-2026,South Delhi,110013,5,2,0,1,7,0,0
02-01-2026,South Delhi,110014,2,1,0,10,30,30,24
02-01-2026,South Delhi,110016,1,0,0,4,8,14,4
02-01-2026,South Delhi,110017,15,1,2,4,52,60,56
02-01-2026,South Delhi,110019,15,3,0,0,0,0,0
02-01-2026,South Delhi,110020,6,2,0,0,13,18,16
02-01-2026,South Delhi,110024,0,0,1,0,0,0,0
02-01-2026,South Delhi,110025,16,13,0,0,0,0,0
02-01-2026,South Delhi,110030,9,3,1,0,0,0,0
02-01-2026,South Delhi,110044,27,5,0,40,220,138,166
02-01-2026,South Delhi,110047,5,2,0,0,36,26,56
02-01-2026,South Delhi,110048,2,0,2,0,26,20,16
02-01-2026,South Delhi,110049,5,4,0,3,18,23,5
02-01-2026,South Delhi,110062,39,8,2,0,0,0,0
02-01-2026,South Delhi,110065,3,5,1,5,24,24,17
02-01-2026,South Delhi,110068,3,0,0,1,18,18,20
02-01-2026,South Delhi,110074,6,4,0,3,53,40,52
02-01-2026,South Delhi,110076,27,3,0,0,62,56,32
02-01-2026,South Delhi,110080,9,2,0,0,29,18,12
02-01-2026,South East Delhi,110025,1,0,0,1,18,0,2
02-01-2026,South West Delhi,110010,0,1,0,2,10,0,0
02-01-2026,South West Delhi,110016,1,0,0,0,4,0,2
02-01-2026,South West Delhi,110021,1,1,0,0,6,1,3
02-01-2026,South West Delhi,110022,2,2,0,2,11,9,15
02-01-2026,South West Delhi,110023,1,0,0,8,30,16,4
02-01-2026,South West Delhi,110028,1,2,0,2,10,18,14
02-01-2026,South West Delhi,110029,2,2,0,1,12,0,0
02-01-2026,South West Delhi,110037,2,2,0,0,0,0,0
02-01-2026,South West Delhi,110043,25,5,0,0,0,0,0
02-01-2026,South West Delhi,110045,18,4,1,9,88,110,86
02-01-2026,South West Delhi,110046,4,3,0,2,30,20,26
02-01-2026,South West Delhi,110057,3,0,0,0,10,0,0
02-01-2026,South West Delhi,110061,0,2,0,0,13,4,3
02-01-2026,South West Delhi,110064,3,2,0,0,36,26,10
02-01-2026,South West Delhi,110067,0,2,0,0,0,0,0
02-01-2026,South West Delhi,110070,2,2,3,7,33,21,11
02-01-2026,South West Delhi,110071,4,2,0,1,19,0,0
02-01-2026,South West Delhi,110072,2,1,0,4,12,6,6
02-01-2026,South West Delhi,110073,5,0,0,1,8,0,0
02-01-2026,South West Delhi,110075,7,0,0,14,104,34,36
02-01-2026,South West Delhi,110077,10,0,0,6,56,0,0
02-01-2026,South West Delhi,110078,11,1,0,2,102,38,40
02-01-2026,West Delhi,110015,8,5,0,4,86,40,36
02-01-2026,West Delhi,110018,24,4,0,9,105,0,0
02-01-2026,West Delhi,110026,2,0,0,0,0,0,0
